"URL";"VERSION"
"https://www.curseforge.com/wow/addons/advancedinterfaceoptions/files";"1.3.0"
"https://www.curseforge.com/wow/addons/auctionator/files";"Auctionator 8.2.0.zip"
"https://www.curseforge.com/wow/addons/sharedmedia/files";"3.1.0 - r192"
